id,rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
,RF00310,Small nucleolar RNA Z165,snoRNA,5,92,451,90.2,95,Rfam seed
,RF00311,Small nucleolar RNA Z188,snoRNA,21,128,2495,118.8,79,Rfam seed
,RF00312,Small nucleolar RNA Z206,snoRNA,6,135,782,130.3,90,Rfam seed
,RF00313,Small nucleolar RNA Z173,snoRNA,4,107,426,106.5,99,Rfam seed
,RF00314,Small nucleolar RNA Z182,snoRNA,6,92,534,89.0,96,Rfam seed
,RF00315,Small nucleolar RNA J33,snoRNA,5,81,399,79.8,79,Rfam seed
,RF00316,Small nucleolar RNA R43,snoRNA,16,74,1152,72.0,87,Rfam seed
,RF00317,Small nucleolar RNA Z163/Z177 family,snoRNA,7,96,625,89.3,82,Rfam seed
,RF00318,Small nucleolar RNA Z175,snoRNA,6,81,451,75.2,99,Rfam seed
,RF00319,Small nucleolar RNA SNORA23,snoRNA,9,188,1635,181.7,83,Rfam seed
,RF00320,Small nucleolar RNA Z185,snoRNA,5,86,424,84.8,94,Rfam seed
,RF00321,Small nucleolar RNA Z247,snoRNA,8,143,1088,136.0,82,Rfam seed
,RF00322,Small nucleolar RNA SNORA31,snoRNA,5,130,627,125.4,85,Rfam seed
,RF00323,Small nucleolar RNA R79,snoRNA,5,65,323,64.6,99,Rfam seed
,RF00324,Small nucleolar RNA MBII-202,snoRNA,30,108,2432,81.1,72,Rfam seed
,RF00325,Small nucleolar RNA SNORD53/SNORD92,snoRNA,37,106,2953,79.8,74,Rfam seed
,RF00326,Small nucleolar RNA Z155,snoRNA,8,83,620,77.5,79,Rfam seed
,RF00327,Small nucleolar RNA Z194,snoRNA,5,108,532,106.4,99,Rfam seed
,RF00328,Small nucleolar RNA Z161/Z228,snoRNA,11,102,990,90.0,67,Rfam seed
,RF00329,Small nucleolar RNA Z162,snoRNA,9,93,797,88.6,83,Rfam seed
,RF00330,Small nucleolar RNA Z43,snoRNA,7,106,694,99.1,83,Rfam seed
,RF00331,Small nucleolar RNA Z169,snoRNA,3,71,209,69.7,87,Rfam seed
,RF00332,Small nucleolar RNA Z266,snoRNA,11,110,1002,91.1,74,Rfam seed
,RF00333,Small nucleolar RNA Z157/R69/R10,snoRNA,10,106,973,97.3,75,Rfam seed
,RF00334,Small nucleolar RNA SNORA3/SNORA45 family,snoRNA,6,133,772,128.7,74,Rfam seed
,RF00335,Small nucleolar RNA Z13/snr52,snoRNA,42,148,4165,99.2,72,Rfam seed
,RF00336,Small nucleolar RNA J26,snoRNA,5,153,746,149.2,95,Rfam seed
,RF00337,Small nucleolar RNA Z112,snoRNA,6,192,1101,183.5,92,Rfam seed
,RF00338,Small nucleolar RNA snR53,snoRNA,5,96,455,91.0,94,Rfam seed
,RF00339,Small nucleolar RNA snoR60,snoRNA,10,77,732,73.2,84,Rfam seed
,RF00340,Small nucleolar RNA SNORA36 family,snoRNA,6,132,768,128.0,85,Rfam seed
,RF00341,Small nucleolar RNA Z39,snoRNA,5,64,307,61.4,88,Rfam seed
,RF00342,Small nucleolar RNA Z40,snoRNA,5,73,362,72.4,94,Rfam seed
,RF00343,Small nucleolar RNA Z122,snoRNA,23,112,2050,89.1,64,Rfam seed
,RF00344,Small nucleolar RNA Z267,snoRNA,5,76,363,72.6,81,Rfam seed
,RF00345,Small nucleolar RNA snoR1,snoRNA,13,109,1216,93.5,73,Rfam seed
,RF00348,Small nucleolar RNA snoR9,snoRNA,7,129,903,129.0,82,Rfam seed
,RF00349,Small nucleolar RNA R11/Z151,snoRNA,5,99,455,91.0,86,Rfam seed
,RF00350,Small nucleolar RNA Z152/R70/R12/,snoRNA,9,133,959,106.6,71,Rfam seed
,RF00351,Small nucleolar RNA R20,snoRNA,4,102,372,93.0,83,Rfam seed
,RF00352,Small nucleolar RNA R21,snoRNA,6,88,496,82.7,77,Rfam seed
,RF00353,Small nucleolar RNA snoR31/Z110/Z27,snoRNA,8,105,752,94.0,67,Rfam seed
,RF00355,Small nucleolar RNA snoR28,snoRNA,9,78,686,76.2,82,Rfam seed
,RF00356,Small nucleolar RNA R32/R81/Z41,snoRNA,6,110,573,95.5,83,Rfam seed
,RF00357,Small nucleolar RNA R44/J54/Z268 family,snoRNA,29,112,2728,94.1,71,Rfam seed
,RF00358,Small nucleolar RNA Z101,snoRNA,13,105,1229,94.5,76,Rfam seed
,RF00359,Small nucleolar RNA Z102/R77,snoRNA,9,92,776,86.2,87,Rfam seed
,RF00360,Small nucleolar RNA Z107/R87,snoRNA,9,132,1028,114.2,73,Rfam seed
,RF00361,Small nucleolar RNA Z119,snoRNA,6,98,581,96.8,94,Rfam seed
,RF00362,Pospiviroid RY motif stem loop,Cis-regulatory,16,81,1264,79.0,92,Rfam seed
,RF00363,mir-BART1 microRNA precursor family,miRNA Precursor,2,70,140,70.0,86,Rfam seed
,RF00364,mir-BART2 microRNA precursor family,miRNA Precursor,8,62,489,61.1,93,Rfam seed
,RF00365,mir-BHRF1-1 microRNA precursor family,miRNA Precursor,2,66,132,66.0,92,Rfam seed
,RF00366,mir-BHRF1-2 microRNA precursor family,miRNA Precursor,2,65,130,65.0,83,Rfam seed
,RF00367,mir-BHRF1-3 microRNA precursor family,miRNA Precursor,4,65,260,65.0,100,Rfam seed
,RF00368,sroB RNA,sRNA,16,90,1299,81.2,68,Rfam seed
,RF00369,sroC RNA,sRNA,6,164,960,160.0,75,Rfam seed
,RF00370,sroD RNA,sRNA,5,92,434,86.8,85,Rfam seed
,RF00371,sroE RNA,sRNA,4,92,352,88.0,84,Rfam seed
,RF00372,sroH RNA,sRNA,2,161,314,157.0,76,Rfam seed
,RF00373,Archaeal RNase P,Ribozyme,70,721,21839,312.0,52,Rfam seed
,RF00374,Gammaretrovirus core encapsidation signal,Cis-regulatory,22,103,2216,100.7,89,Rfam seed
,RF00375,HIV primer binding site (PBS),Cis-regulatory,130,101,12870,99.0,91,Rfam seed
,RF00376,HIV gag stem loop 3 (GSL3),Cis-regulatory,72,85,6042,83.9,81,Rfam seed
,RF00377,Small nucleolar RNA U6-53/MBII-28,snoRNA,25,119,2686,107.4,75,Rfam seed
,RF00378,Qrr RNA,sRNA,30,134,3204,106.8,79,Rfam seed
,RF00379,ydaO/yuaA leader,Riboswitch,106,335,15231,143.7,56,Rfam seed
,RF00380,M-box riboswitch (ykoK leader),Riboswitch,159,278,26803,168.6,58,Rfam seed
,RF00381,Antizyme RNA frameshifting stimulation element,Frameshift Element,13,59,751,57.8,84,Rfam seed
,RF00382,DnaX ribosomal frameshifting element,Frameshift Element,5,65,325,65.0,86,Rfam seed
,RF00383,Insertion sequence IS1222 ribosomal frameshifting element,Frameshift Element,5,118,590,118.0,93,Rfam seed
,RF00384,Poxvirus AX element late mRNA cis-regulatory element,Cis-regulatory,10,62,620,62.0,93,Rfam seed
,RF00385,Infectious bronchitis virus D-RNA,Cis-regulatory,10,42,417,41.7,94,Rfam seed
,RF00386,Enterovirus 5' cloverleaf cis-acting replication element,Cis-regulatory,160,125,14270,89.2,84,Rfam seed
,RF00387,FGF-1 internal ribosome entry site (IRES),IRES,6,173,990,165.0,87,Rfam seed
,RF00388,Anti-Q RNA,Antisense RNA,6,113,621,103.5,72,Rfam seed
,RF00389,Bamboo mosaic virus satellite RNA cis-regulatory element,Cis-regulatory,42,159,6635,158.0,93,Rfam seed
,RF00390,UPSK RNA,Cis-regulatory,6,23,138,23.0,94,Rfam seed
,RF00391,RtT RNA,Cis-regulatory,57,171,7366,129.2,68,Rfam seed
,RF00392,Small nucleolar RNA SNORA5,snoRNA,6,142,804,134.0,75,Rfam seed
,RF00393,Small nucleolar RNA SNORA8,snoRNA,5,141,696,139.2,90,Rfam seed
,RF00394,Small nucleolar RNA SNORA4,snoRNA,7,151,983,140.4,76,Rfam seed
,RF00396,Small nucleolar RNA SNORA13,snoRNA,50,166,6648,133.0,67,Rfam seed
,RF00397,Small nucleolar RNA SNORA14,snoRNA,18,149,2416,134.2,77,Rfam seed
,RF00398,Small nucleolar RNA SNORA15,snoRNA,22,150,2968,134.9,81,Rfam seed
,RF00399,Small nucleolar RNA SNORA24,snoRNA,5,135,649,129.8,89,Rfam seed
,RF00400,Small nucleolar RNA SNORA28,snoRNA,26,146,3264,125.5,79,Rfam seed
,RF00401,Small nucleolar RNA SNORA20,snoRNA,17,133,2195,129.1,87,Rfam seed
,RF00402,Small nucleolar RNA SNORA25,snoRNA,30,147,3841,128.0,77,Rfam seed
,RF00403,Small nucleolar RNA SNORA41,snoRNA,31,144,4102,132.3,77,Rfam seed
,RF00404,Small nucleolar RNA SNORA46,snoRNA,22,158,2994,136.1,82,Rfam seed
,RF00405,Small nucleolar RNA SNORA44,snoRNA,27,143,3498,129.6,81,Rfam seed
,RF00406,Small nucleolar RNA SNORA42/SNORA80 family,snoRNA,21,139,2824,134.5,79,Rfam seed
,RF00407,Small nucleolar RNA SNORA50,snoRNA,14,145,1899,135.6,72,Rfam seed
,RF00408,Small nucleolar RNA SNORA1,snoRNA,29,152,3862,133.2,76,Rfam seed
,RF00409,Small nucleolar RNA SNORA7,snoRNA,31,156,4325,139.5,78,Rfam seed
,RF00410,Small nucleolar RNA SNORA2/SNORA34 family,snoRNA,18,145,2447,135.9,75,Rfam seed
,RF00411,Small nucleolar RNA SNORA9,snoRNA,36,149,4780,132.8,77,Rfam seed
,RF00412,Small nucleolar RNA SNORA21,snoRNA,5,138,666,133.2,88,Rfam seed
,RF00413,Small nucleolar RNA SNORA19,snoRNA,34,138,4424,130.1,79,Rfam seed
,RF00414,Small nucleolar RNA SNORA22,snoRNA,31,150,4151,133.9,79,Rfam seed
,RF00415,Small nucleolar RNA SNORA30/SNORA37 family,snoRNA,11,139,1420,129.1,73,Rfam seed
,RF00416,Small nucleolar RNA SNORA43,snoRNA,21,148,2842,135.3,76,Rfam seed
,RF00417,Small nucleolar RNA SNORA56,snoRNA,17,147,2202,129.5,82,Rfam seed
,RF00418,Small nucleolar RNA SNORA58,snoRNA,20,147,2716,135.8,81,Rfam seed
,RF00419,Small nucleolar RNA SNORA52,snoRNA,21,152,2805,133.6,72,Rfam seed
,RF00420,Small nucleolar RNA SNORA61,snoRNA,25,148,3240,129.6,74,Rfam seed
,RF00421,Small nucleolar RNA SNORA32,snoRNA,9,124,1094,121.6,84,Rfam seed
,RF00422,Small Cajal body specific RNA 24,snoRNA,23,144,2992,130.1,83,Rfam seed
,RF00423,Small Cajal body specific RNA 4,snoRNA,24,141,3092,128.8,83,Rfam seed
,RF00424,Small Cajal body specific RNA 16,snoRNA,37,215,6792,183.6,76,Rfam seed
,RF00425,Small nucleolar RNA SNORA18,snoRNA,29,142,3807,131.3,76,Rfam seed
,RF00426,Small Cajal body specific RNA 15,snoRNA,22,139,2818,128.1,72,Rfam seed
,RF00427,Small Cajal body specific RNA 23,snoRNA,18,137,2258,125.4,79,Rfam seed
,RF00428,Small nucleolar RNA SNORA38,snoRNA,25,140,3288,131.5,84,Rfam seed
,RF00429,Small nucleolar RNA SNORA29,snoRNA,26,151,3587,138.0,79,Rfam seed
,RF00430,Small nucleolar RNA SNORA54,snoRNA,5,140,637,127.4,60,Rfam seed
,RF00431,Small nucleolar RNA SNORA55,snoRNA,29,142,3879,133.8,81,Rfam seed
,RF00432,Small nucleolar RNA SNORA51,snoRNA,9,136,1191,132.3,82,Rfam seed
,RF00433,Hsp90 cis-regulatory element,Thermoregulator,6,152,906,151.0,96,Rfam seed
,RF00434,Luteovirus cap-independent translation element (BTE),Cis-regulatory,17,130,1719,101.1,71,Rfam seed
,RF00435,Repression of heat shock gene expression (ROSE) element,Thermoregulator,13,132,1313,101.0,59,Rfam seed
,RF00436,UnaL2 LINE 3' element,Cis-regulatory,30,57,1623,54.1,77,Rfam seed
,RF00437,Hairy RNA localisation element (HLE),Cis-regulatory,5,134,648,129.6,83,Rfam seed
,RF00438,Small nucleolar RNA SNORA33,snoRNA,28,156,3640,130.0,77,Rfam seed
,RF00439,Small nucleolar RNA SNORD87,snoRNA,10,93,828,82.8,90,Rfam seed
,RF00440,Small nucleolar RNA SNORD37,snoRNA,6,68,391,65.2,79,Rfam seed
,RF00441,Small nucleolar RNA Z242,snoRNA,5,198,986,197.2,88,Rfam seed
,RF00442,Guanidine-I riboswitch,Riboswitch,100,178,10783,107.8,63,Rfam seed
,RF00443,Small nucleolar RNA SNORA27,snoRNA,24,151,3073,128.0,84,Rfam seed
,RF00444,PrrF RNA,sRNA,18,156,2671,148.4,81,Rfam seed
,RF00445,mir-399 microRNA precursor family,miRNA Precursor,13,152,1470,113.1,59,Rfam seed
,RF00446,mir-133 microRNA precursor family,miRNA Precursor,46,104,4027,87.5,67,Rfam seed
,RF00447,Voltage-gated potassium-channel Kv1.4 IRES,IRES,6,263,1540,256.7,89,Rfam seed
,RF00448,Epstein-Barr virus nuclear antigen (EBNA) IRES,IRES,6,221,1271,211.8,83,Rfam seed
,RF00449,HIF-1 alpha IRES,IRES,17,334,4722,277.8,75,Rfam seed
,RF00451,mir-395 microRNA precursor family,miRNA Precursor,25,147,2562,102.5,65,Rfam seed
,RF00452,mir-172 microRNA precursor family,miRNA Precursor,11,187,1337,121.5,58,Rfam seed
,RF00453,Cardiovirus cis-acting replication element (CRE),Cis-regulatory,4,33,132,33.0,81,Rfam seed
,RF00454,p27 cis-regulatory element,Cis-regulatory,12,60,699,58.2,92,Rfam seed
,RF00455,mir-15 microRNA precursor family,miRNA Precursor,17,89,1454,85.5,73,Rfam seed
,RF00456,mir-34 microRNA precursor family,miRNA Precursor,18,92,1580,87.8,74,Rfam seed
,RF00457,Mnt IRES,IRES,21,217,4216,200.8,91,Rfam seed
,RF00458,Cripavirus internal ribosome entry site (IRES),IRES,7,210,1391,198.7,54,Rfam seed
,RF00459,Mason-Pfizer monkey virus packaging signal,Cis-regulatory,9,309,2500,277.8,71,Rfam seed
,RF00460,U1A polyadenylation inhibition element (PIE),Cis-regulatory,39,81,2891,74.1,74,Rfam seed
,RF00461,Vascular endothelial growth factor (VEGF) IRES A,IRES,7,316,2123,303.3,90,Rfam seed
,RF00462,APC internal ribosome entry site (IRES),IRES,6,53,318,53.0,85,Rfam seed
,RF00463,Apolipoprotein B (apoB) 5' UTR cis-regulatory element,Cis-regulatory,5,128,631,126.2,91,Rfam seed
,RF00464,mir-92 microRNA precursor family,miRNA Precursor,23,82,1815,78.9,76,Rfam seed
,RF00467,Rous sarcoma virus (RSV) primer binding site (PBS),Cis-regulatory,22,75,1650,75.0,93,Rfam seed
,RF00468,Hepatitis C virus stem-loop VII,Cis-regulatory,110,66,7190,65.4,74,Rfam seed
,RF00470,Togavirus 5' plus strand cis-regulatory element,Cis-regulatory,33,308,8781,266.1,80,Rfam seed
,RF00471,Small nucleolar RNA snR48,snoRNA,6,122,649,108.2,75,Rfam seed
,RF00472,Small nucleolar RNA snR55/Z10,snoRNA,6,99,534,89.0,75,Rfam seed
,RF00473,Small nucleolar RNA snR54,snoRNA,8,107,701,87.6,78,Rfam seed
,RF00474,Small nucleolar RNA snR57,snoRNA,5,100,456,91.2,75,Rfam seed
,RF00475,Small nucleolar RNA snR69,snoRNA,6,120,583,97.2,63,Rfam seed
,RF00476,Small nucleolar RNA snR61/Z1/Z11,snoRNA,56,105,4697,83.9,68,Rfam seed
,RF00477,Small nucleolar RNA snR66,snoRNA,4,117,402,100.5,83,Rfam seed
,RF00478,Small Cajal body specific RNA 6,snoRNA,17,298,4481,263.6,73,Rfam seed
,RF00479,Small nucleolar RNA snR71,snoRNA,7,100,647,92.4,74,Rfam seed
,RF00480,HIV Ribosomal frameshift signal,Frameshift Element,145,52,7523,51.9,84,Rfam seed
,RF00481,Hepatitis C virus 3' X element,Cis-regulatory,22,100,2194,99.7,96,Rfam seed
,RF00482,Small nucleolar RNA F1/F2/snoR5a,snoRNA,8,141,1117,139.6,86,Rfam seed
,RF00483,Insulin-like growth factor II IRES,IRES,9,122,1082,120.2,94,Rfam seed
,RF00484,Connexin-32 internal ribosome entry site (IRES),IRES,6,153,869,144.8,93,Rfam seed
,RF00485,Potassium channel RNA editing signal,Cis-regulatory,85,116,9689,114.0,68,Rfam seed
,RF00486,mir-129 microRNA precursor family,miRNA Precursor,6,92,541,90.2,83,Rfam seed
,RF00487,Connexin-43 internal ribosome entry site (IRES),IRES,14,217,2779,198.5,87,Rfam seed
,RF00488,Yeast U1 spliceosomal RNA,Splicing Factor,5,625,2831,566.2,63,Rfam seed
,RF00489,ctRNA,Antisense RNA,10,49,456,45.6,86,Rfam seed
,RF00490,S-element,Cis-regulatory,29,81,1961,67.6,75,Rfam seed
,RF00492,small Cajal body-specific RNA 17,snoRNA,6,145,848,141.3,76,Rfam seed
,RF00493,Small nucleolar RNA U2-30,snoRNA,21,75,1468,69.9,87,Rfam seed
,RF00494,Small nucleolar RNA U2-19,snoRNA,29,86,2323,80.1,80,Rfam seed
,RF00495,Heat shock protein 70 (Hsp70) internal ribosome entry site (IRES),IRES,14,233,2960,211.4,80,Rfam seed
,RF00498,Equine arteritis virus leader TRS hairpin (LTH),5' Leader Element,6,45,270,45.0,98,Rfam seed
,RF00499,Human parechovirus 1 (HPeV1) cis regulatory element (CRE),Cis-regulatory,5,117,558,111.6,87,Rfam seed
,RF00500,Turnip crinkle virus (TCV) repressor of minus strand synthesis H5,Cis-regulatory,5,46,226,45.2,97,Rfam seed
,RF00501,Rotavirus cis-acting replication element (CRE),Cis-regulatory,14,68,949,67.8,87,Rfam seed
,RF00502,Turnip crinkle virus (TCV) core promoter hairpin (Pr),Cis-regulatory,4,34,132,33.0,92,Rfam seed
,RF00503,RNAIII,Gene,10,608,4682,468.2,61,Rfam seed
,RF00504,Glycine riboswitch,Riboswitch,44,215,4438,100.9,50,Rfam seed
,RF00505,RydC RNA,sRNA,5,66,324,64.8,86,Rfam seed
,RF00506,Threonine operon leader,5' Leader Element,25,142,3006,120.2,76,Rfam seed
,RF00507,Coronavirus frameshifting stimulation element,Frameshift Element,50,81,3855,77.1,66,Rfam seed
,RF00509,Small nucleolar RNA snR64,snoRNA,10,113,1037,103.7,81,Rfam seed
,RF00510,Tombusvirus internal replication element (IRE),Cis-regulatory,23,94,2037,88.6,84,Rfam seed
,RF00511,Kaposi's sarcoma-associated herpesvirus internal ribosome entry site,IRES,5,248,1240,248.0,99,Rfam seed
,RF00512,Leucine operon leader,5' Leader Element,6,161,881,146.8,63,Rfam seed
,RF00513,Tryptophan operon leader,5' Leader Element,22,127,2215,100.7,59,Rfam seed
,RF00514,Histidine operon leader,5' Leader Element,33,166,4247,128.7,63,Rfam seed
,RF00515,PyrR binding site,Cis-regulatory,41,224,5079,123.9,47,Rfam seed
,RF00516,ylbH leader,5' Leader Element,3,139,356,118.7,56,Rfam seed
,RF00517,serC leader,5' Leader Element,70,55,3651,52.2,75,Rfam seed
,RF00518,speF leader,5' Leader Element,6,161,915,152.5,59,Rfam seed
,RF00519,Makes More Granules Regulator RNA (mmgR),sRNA,87,100,6670,76.7,55,Rfam seed
,RF00520,ybhL leader,5' Leader Element,6,92,444,74.0,74,Rfam seed
,RF00521,SAM riboswitch (alpha-proteobacteria),Riboswitch,40,85,3158,79.0,70,Rfam seed
,RF00522,PreQ1 riboswitch,Riboswitch,36,70,1640,45.6,66,Rfam seed
,RF00523,Prion pseudoknot,Cis-regulatory,148,54,6077,41.1,84,Rfam seed
,RF00524,R2 RNA element,Cis-regulatory,15,274,3238,215.9,66,Rfam seed
,RF00525,Flavivirus DB element,Cis-regulatory,111,84,8025,72.3,72,Rfam seed
,RF00526,Small nucleolar RNA Me28S-U3344,snoRNA,8,90,667,83.4,77,Rfam seed
,RF00527,Small nucleolar RNA Me28S-Gm3255,snoRNA,10,89,821,82.1,78,Rfam seed
,RF00528,Small nucleolar RNA Me28S-Gm1083,snoRNA,11,98,982,89.3,85,Rfam seed
,RF00529,Small nucleolar RNA Me28S-Am2589,snoRNA,16,112,1740,108.8,70,Rfam seed
,RF00530,Small nucleolar RNA Me28S-Cm2645,snoRNA,20,85,1504,75.2,79,Rfam seed
,RF00531,Small nucleolar RNA Me28S-Gm3113,snoRNA,15,92,1246,83.1,75,Rfam seed
,RF00532,Small nucleolar RNA Me18S-Um1356,snoRNA,21,101,1811,86.2,73,Rfam seed
,RF00533,Small nucleolar RNA Me18S-Gm1358,snoRNA,12,87,907,75.6,80,Rfam seed
,RF00534,SgrS RNA,Antisense RNA,8,285,1843,230.4,46,Rfam seed
,RF00535,Small nucleolar RNA Me28S-Am982,snoRNA,13,87,1021,78.5,75,Rfam seed
,RF00536,Small nucleolar RNA Me28S-Cm3227,snoRNA,13,88,1061,81.6,90,Rfam seed
,RF00537,Small nucleolar RNA Me28S-Am2634,snoRNA,18,107,1691,93.9,71,Rfam seed
,RF00538,Small nucleolar RNA CD11,snoRNA,26,85,1947,74.9,77,Rfam seed
,RF00539,Small nucleolar RNA Me28S-Cm788,snoRNA,5,75,363,72.6,90,Rfam seed
,RF00540,Small nucleolar RNA psi18S-1854,snoRNA,16,171,2489,155.6,78,Rfam seed
,RF00541,Small nucleolar RNA psi28S-2876,snoRNA,8,164,1163,145.4,80,Rfam seed
,RF00542,Small nucleolar RNA psi28S-1192,snoRNA,15,149,2108,140.5,81,Rfam seed
,RF00543,Small nucleolar RNA psi18S-1377,snoRNA,15,159,2096,139.7,72,Rfam seed
,RF00544,Small nucleolar RNA psi28S-3327,snoRNA,14,161,2007,143.4,78,Rfam seed
,RF00545,Small nucleolar RNA psi18S-841/snoR66,snoRNA,24,176,3368,140.3,68,Rfam seed
,RF00546,Small nucleolar RNA psi28S-3316,snoRNA,33,169,4375,132.6,70,Rfam seed
,RF00547,TrkB IRES,IRES,16,386,5466,341.6,74,Rfam seed
,RF00548,U11 spliceosomal RNA,Splicing Factor,72,350,11041,153.3,58,Rfam seed
,RF00549,c-sis internal ribosome entry site (IRES),IRES,10,632,6020,602.0,94,Rfam seed
,RF00550,Hepatitis E virus cis-reactive element,Cis-regulatory,46,151,6768,147.1,85,Rfam seed
,RF00551,Bicoid 3'-UTR regulatory element,Cis-regulatory,15,643,8244,549.6,75,Rfam seed
,RF00552,rncO,Cis-regulatory,18,226,3676,204.2,83,Rfam seed
,RF00553,Small Cajal body specific RNA 1,snoRNA,29,205,4753,163.9,70,Rfam seed
,RF00554,Small nucleolar RNA SNORA48,snoRNA,24,147,3258,135.8,78,Rfam seed
,RF00555,Ribosomal protein L13 leader,5' Leader Element,26,107,1744,67.1,65,Rfam seed
,RF00556,Ribosomal protein L19 leader,5' Leader Element,10,46,419,41.9,64,Rfam seed
,RF00557,Ribosomal protein L10 leader,5' Leader Element,97,239,13517,139.4,46,Rfam seed
,RF00558,Ribosomal protein L20 leader,5' Leader Element,43,155,5447,126.7,52,Rfam seed
,RF00559,Ribosomal protein L21 leader,5' Leader Element,38,151,3023,79.6,54,Rfam seed
,RF00560,Small nucleolar RNA SNORA17,snoRNA,53,150,7003,132.1,79,Rfam seed
,RF00561,Small nucleolar RNA SNORA40,snoRNA,28,138,3571,127.5,84,Rfam seed
,RF00562,Small nucleolar RNA SNORA49,snoRNA,21,141,2777,132.2,81,Rfam seed
,RF00563,Small nucleolar RNA SNORA53,snoRNA,28,277,6731,240.4,80,Rfam seed
,RF00564,Small Cajal body specific RNA 11,snoRNA,24,167,3332,138.8,79,Rfam seed
,RF00565,Small Cajal body specific RNA 3,snoRNA,23,147,3163,137.5,76,Rfam seed
,RF00566,Small nucleolar RNA SNORA35,snoRNA,29,147,3734,128.8,65,Rfam seed
,RF00567,Small nucleolar RNA SNORD17,snoRNA,19,293,4497,236.7,78,Rfam seed
,RF00568,Small nucleolar RNA SNORA26,snoRNA,76,181,9248,121.7,78,Rfam seed
,RF00569,Small nucleolar RNA SNORD19,snoRNA,22,85,1677,76.2,83,Rfam seed
,RF00570,Small Nucleolar RNA SNORD64,snoRNA,17,74,1108,65.2,80,Rfam seed
,RF00571,Small nucleolar RNA SNORD65,snoRNA,26,78,1887,72.6,82,Rfam seed
,RF00572,Small nucleolar RNA SNORD66,snoRNA,20,79,1523,76.2,82,Rfam seed
,RF00573,Small nucleolar RNA SNORD67,snoRNA,15,118,1679,111.9,77,Rfam seed
,RF00574,Small nucleolar RNA SNORD69,snoRNA,11,81,847,77.0,88,Rfam seed
,RF00575,Small nucleolar RNA SNORD70,snoRNA,21,97,1841,87.7,79,Rfam seed
,RF00576,Small nucleolar RNA SNORD71,snoRNA,18,89,1544,85.8,83,Rfam seed
,RF00577,Small nucleolar RNA SNORD72,snoRNA,16,84,1281,80.1,85,Rfam seed
,RF00578,Small nucleolar RNA SNORD89,snoRNA,18,123,2047,113.7,88,Rfam seed
,RF00579,Small nucleolar RNA SNORD90,snoRNA,18,113,1990,110.6,87,Rfam seed
,RF00580,Small nucleolar RNA SNORD91 family,snoRNA,24,97,2246,93.6,79,Rfam seed
,RF00581,Small nucleolar SNORD12/SNORD106,snoRNA,8,95,709,88.6,71,Rfam seed
,RF00582,Small Cajal body specific RNA 14,snoRNA,22,146,2979,135.4,77,Rfam seed
,RF00584,Small nucleolar RNA SNORD105,snoRNA,15,91,1279,85.3,82,Rfam seed
,RF00586,Small nucleolar RNA SNORA12,snoRNA,23,162,3382,147.0,77,Rfam seed
,RF00588,Small nucleolar RNA SNORD41,snoRNA,20,80,1404,70.2,77,Rfam seed
,RF00591,Small nucleolar RNA SNORD77,snoRNA,21,75,1413,67.3,82,Rfam seed
,RF00592,Small nucleolar RNA SNORD78,snoRNA,19,70,1235,65.0,82,Rfam seed
,RF00593,Small nucleolar RNA U83B,snoRNA,21,100,1971,93.9,81,Rfam seed
,RF00594,Small nucleolar RNA SNORD86,snoRNA,6,88,514,85.7,77,Rfam seed
,RF00598,Small nucleolar RNA SNORA76,snoRNA,22,140,2895,131.6,83,Rfam seed
,RF00599,Small nucleolar RNA SNORA77,snoRNA,19,136,2370,124.7,75,Rfam seed
,RF00600,Small nucleolar RNA SNORA79,snoRNA,25,158,3611,144.4,78,Rfam seed
,RF00601,Small Cajal body specific RNA 20,snoRNA,5,135,653,130.6,79,Rfam seed
,RF00602,Small Cajal body specific RNA 21,snoRNA,24,163,3348,139.5,75,Rfam seed
,RF00603,Small nucleolar RNA SNORD23,snoRNA,15,119,1633,108.9,84,Rfam seed
,RF00604,Small nucleolar RNA SNORD88,snoRNA,35,115,3189,91.1,75,Rfam seed
,RF00606,Small nucleolar RNA SNORD93,snoRNA,17,91,1254,73.8,88,Rfam seed
,RF00607,Small nucleolar RNA SNORD98,snoRNA,10,68,653,65.3,81,Rfam seed
,RF00608,Small nucleolar RNA SNORD99,snoRNA,23,77,1684,73.2,77,Rfam seed
,RF00609,Small nucleolar RNA SNORD100,snoRNA,26,94,2088,80.3,75,Rfam seed
,RF00610,Small nucleolar RNA SNORD110,snoRNA,16,81,1113,69.6,87,Rfam seed
,RF00611,Small nucleolar RNA SNORD111,snoRNA,5,97,409,81.8,75,Rfam seed
,RF00612,Small nucleolar RNA SNORD75,snoRNA,5,74,327,65.4,75,Rfam seed
,RF00613,Small nucleolar RNA SNORD94,snoRNA,21,150,2877,137.0,79,Rfam seed
,RF00614,Small nucleolar RNA SNORA11,snoRNA,35,144,4455,127.3,83,Rfam seed
,RF00615,Listeria Hfq binding LhrA,sRNA,10,269,2689,268.9,99,Rfam seed
,RF00616,Listeria LhrC,sRNA,12,129,1354,112.8,89,Rfam seed
,RF00617,Flavivirus capsid hairpin cHP,Cis-regulatory,59,50,2698,45.7,72,Rfam seed
,RF00618,U4atac minor spliceosomal RNA,Splicing Factor,61,224,8227,134.9,61,Rfam seed
,RF00619,U6atac minor spliceosomal RNA,Splicing Factor,62,156,7501,121.0,70,Rfam seed
